"%s and greater","%s und grösser"
"All","Alle"
"Autogenerated site map","Automatisch erzeugte Sitemap"
"up to %s","bis zu %s"
"Description","Description"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"Advanced Search","Erweiterte Suche"
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Grid","Gitter"
"Popular search terms","Häufigste Suchanfragen"
"Popular Search Terms","Häufigste Suchanfragen"
"Your search returns no results.","Ihre Suche lieferte keine Ergebnisse."
"List","Liste"
"Name","Name"
"Required Fields","Pflichtfelder"
"Price","Preis"
"Search Terms","Search Terms"
"Search Site","Seiten durchsuchen"
"Search entire store here...","Shop durchsuchen..."
"Short Description","Short Description"
"You have to specify at least one search term","Sie müssen mindestens ein Wort eingeben"
"SKU","SKU"
"Home","Startseite"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Results","Suchergebnisse"
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Tax Class","Tax Class"
"Go to Home Page","Zur Startseite"
