"-- Please select --","-- Bitte auswählen --"
"Error Email Sender","Absender für Fehler-E-Mail"
"Enabled","Aktiviert"
"Currency Update Warnings","Aktualisierungswarnung der Währung"
"Base currency (Currency will be used for all online payment transactions)","Basiswährung (Währung wird verwendet für alle Online-Zahlungstransaktionen)"
"Currency Setup","Einrichten der Wähung"
"Scheduled Import Settings","Einstellungen für terminierten Import"
"Allowed currencies","Erlaubte Währungen"
"Error Email Recipient","Fehler E-Mail Emfpänger"
"Frequency","Häufigkeit"
"Your current currency is: %s","Ihre aktuelle Währung ist: %s"
"Unable to initialize import model","Importmodel konnte nicht gestartet werden"
"Installed Currencies","Installierte Währungen"
"Country and Format Type combination should be unique","Land- und Formatkombination sollte eindeutig sein."
"State/Province","Land/Kanton"
"Undefined rate from ""%s-%s""","Nicht definierter Wechselkurs ""%s-%s"""
"FATAL ERROR:","Schwerwiegender Fehler:"
"Service","Service"
"Default display currency","Standardmässig angezeigte Währung"
"Start Time","Startzeit"
"Cannot retrieve rate from %s","Umrechnungskurs konnte nicht von %s abgerufen werden"
"Invalid rates received","Ungültige Kurse empfangen"
"Invalid target currency","Ungültige Zielwährung"
"Invalid Import Service Specified","Ungültiger Importservice angegeben"
"Invalid country code: %s","Ungültiger Ländercode: %s"
"Error Email Template","Vorlage für Fehler-E-Mail "
"WARNING:","WARNUNG:"
"Currency","Währung"
"Select Your Currency","Währung wählen"
"Currency Options","Währungsoptionen"
"Continue &raquo;","Weiter &raquo;"
