"Enabled","Aktiviert"
"API User Name","API Benutzername"
"API Password","API Passwort"
"API Signature","API Signatur"
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Review Order","Bestellübersicht"
"Place an Order","Bestellung aufgeben"
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Debug Flag","Debug Flag"
"Email","E-Mail"
"Sorry, no quotes are available for this order at this time.","Entschuldigung, für diese Bestellung liegen derzeit keine Angebot vor."
"Business Account","Geschäftskundenkonto"
"Business Name","Geschäftskundenname"
"Your billing address will be ignored and you will be redirected to PayPal website","Ihre Rechnungsadresse wurde ignoriert, sie werden zur PayPal Website weitergeleitet"
"Credit Card Types","Kreditkartentypen"
"New order status","Neuer Bestellstatus"
"PayPal Account","PayPal Konto"
"Paypal Logo Image URL(150x150)","Paypal Logo Bild-URL(150x150)"
"Price","Preis"
"Product Name","Produktname"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Billing Information","Rechnungsinformationen"
"Sort order","Reihenfolge"
"Sandbox Flag","Sandbox Flag"
"Submitting order information...","Schicke Bestellungsinformationen ab..."
"You will be redirected to paypal in a few seconds.","Sie werden zu PayPal weitergeleitet, einen Moment bitte."
"You will be redirected to PayPal website when you place an order.","Sie werden zu PayPal weitergeleitet, wenn Sie Ihre Bestellung aufgeben."
"Qty","Stück"
"Title","Titel"
"Transaction Type","Transaktionstyp"
"Type","Typ"
"Shipping Address","Versandanschrift"
"Change Shipping Address","Versandanschrift ändern"
"Shipping Method","Versandart"
"Update Shipping Method","Versandart aktualisieren"
"Shipping Information","Versandinformationen"
"Use Proxy","Verwende Proxy"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"Payment from Specific countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zugelassenen Ländern"
"Payment Action","Zahlungsaktion"
"Payment Method","Zahlweise"
"Change Payment Method","Zahlweise ändern"
"Subtotal","Zwischensumme"
