"%d Review(s)","%d Kundenmeinung(en)"
"%s Review(s)","%s Kundenmeinung(en)"
"(Posted on %s)","(Veröffentlicht auf %s)"
"1 star","1 Stern"
"2 stars","2 Sterne"
"3 stars","3 Sterne"
"4 stars","4 Sterne"
"5 stars","5 Sterne"
"Administrator","Administrator"
"All Reviews","Alle Kundenmeinungen"
"View All Reviews","Alle Kundenmeinungen anzeigen"
"Created On","Angelegt am"
"Add Items to Cart","Artikel in den Warenkorb"
"SKU","Artikelnummer"
"Product SKU","Artikelnummer"
"Add to Wishlist","Auf den Wunschzettel"
"Add to Compare","Auf die Vergleichsliste"
"Pending Reviews","Ausstehende Kundenmeinungen"
"Rating:","Bewertung:"
"Please select a product","Bitte ein Produkt auswählen"
"Please select one of each of the ratings above","Bitte wählen Sie eine der obenstehenden Bewertungen"
"View Details","Details anzeigen"
"Average Customer Rating","Durchschnittliche Kundenbewertung"
"Average Customer Rating:","Durchschnittliche Kundenbewertung:"
"Unable to post review. Please, try again later.","Fehler beim Übertragen der Kundenmeinung. Bitte versuchen es später noch einmal."
"Guest","Gast"
"Detailed Rating","Genauere Bewertung"
"ID","ID"
"Your Rating:","Ihre Bewertung:"
"Your Review (submitted on %s):","Ihre Kundenmeinung (vom %s):"
"Add Your Review","Ihre Kundenmeinung hinzufügen"
"Your review has been accepted for moderation","Ihre Kundenmeinung wurde zur internen Prüfung angenommen"
"Add to Cart","In den Warenkorb"
"Buy %s for %s","Kaufen Sie %s zum Preis von %s"
"Customer","Kunde"
"Review","Kundenmeinung"
"Edit Review '%s'","Kundenmeinung '%s' bearbeiten"
"Product Review (submitted on %s):","Kundenmeinung (erstellt am %s):"
"Submit Review","Kundenmeinung abschicken"
"Review Details","Kundenmeinung Details"
"Add New Review","Kundenmeinung hinzufügen"
"Delete Review","Kundenmeinung löschen"
"Save Review","Kundenmeinung speichern"
"Review by %s","Kundenmeinung von %s"
"Product Reviews","Kundenmeinungen"
"Customer Reviews","Kundenmeinungen"
"Delete","Löschen"
"My Product Reviews","Meine Kundenmeinungen"
"My Recent Reviews","Meine letzten Kundenmeinungen"
"Name","Name"
"Name In Store","Name im Store"
"New Review","Neue Kundenmeinung"
"Nickname","Nickname"
"OR","ODER"
"Price","Preis"
"Product","Produkt"
"Product Rating","Produktbewertung"
"Product Rating:","Produktbewertung:"
"Product Name","Produktname"
"Be the first to review this product","Schreiben Sie die erste Kundenmeinung"
"Write Your Own Review","Schreiben Sie Ihre eigene Kundenmeinung"
"Visible In","Sichtbar in"
"Visible Ins","Sichtbar in"
"You're reviewing: %s","Sie geben gerade Ihre Kundenmeinung zu folgendem Produkt ab: %s"
"You have submitted no reviews.","Sie haben noch keine Kundenmeinungen abgegeben."
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Are you sure?","Sind Sie sicher?"
"Status","Status"
"Update status","Status aktualisieren"
"Qty","Stück"
"Store Views","Store Views"
"Title","Titel"
"Type","Typ"
"Posted By","Veröffentlicht von"
"Availability: In stock.","Verfügbarkeit: Auf Lager."
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"How do you rate this product?","Wie bewerten Sie diesen Artikel?"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Back","Zurück"
"Back to Product Reviews","Zurück zu Kundenmeinungen"
"Back to My Reviews","Zurück zu meinen Kundenmeinungen"
"Back to Main Product Info","Zurück zur Produktinformation"
"Summary of review","Zusammenfassung"
"Summary Rating","Zusammenfassung"
"Summary of Review","Zusammenfassung"
"Summary of Your Review","Zusammenfassung Ihrer Kundenmeinung"
